Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg","Volume Open Interest Ratio",IV,Type,"Last Trade","Avg IV"
"4,025.00",+1.95%,260.20,262.35,264.50,217.50,0.00,unch,0,5,unch,18.20%,Call,03/29/23,17.93%
"4,030.00",+1.83%,256.80,258.90,261.00,241.07,0.00,unch,0,20,unch,18.15%,Call,03/31/23,17.93%
"4,040.00",+1.58%,249.90,252.00,254.10,272.40,0.00,unch,0,1,unch,18.05%,Call,04/03/23,17.93%
"4,050.00",+1.34%,243.10,245.20,247.30,224.43,0.00,unch,0,82,unch,17.95%,Call,03/31/23,17.93%
"4,060.00",+1.10%,236.40,238.45,240.50,248.80,0.00,unch,0,5,unch,17.85%,Call,04/03/23,17.93%
"4,070.00",+0.85%,229.70,231.75,233.80,224.59,224.59,unch,3,11,unch,17.74%,Call,04/06/23,17.93%
"4,075.00",+0.73%,226.40,228.45,230.50,242.79,0.00,unch,0,50,unch,17.69%,Call,04/03/23,17.93%
"4,080.00",+0.61%,223.10,225.10,227.10,218.06,218.06,unch,3,5,unch,17.63%,Call,04/06/23,17.93%
"4,090.00",+0.37%,216.60,218.60,220.60,215.60,0.00,unch,0,93,unch,17.53%,Call,04/04/23,17.93%
"4,100.00",+0.12%,210.20,212.15,214.10,211.70,211.70,unch,29,31,unch,17.38%,Call,04/06/23,17.93%
"4,110.00",-0.12%,203.80,205.70,207.60,197.99,197.99,unch,4,16,unch,17.32%,Call,04/06/23,17.93%
"4,120.00",-0.36%,197.50,199.40,201.30,197.19,197.19,unch,2,13,unch,17.21%,Call,04/06/23,17.93%
"4,125.00",-0.49%,194.30,196.20,198.10,149.64,0.00,unch,0,14,unch,17.15%,Call,03/27/23,17.93%
"4,130.00",-0.61%,191.20,193.10,195.00,168.61,0.00,unch,0,0,unch,17.10%,Call,03/30/23,17.93%
"4,140.00",-0.85%,185.10,186.95,188.80,190.19,0.00,unch,0,48,unch,16.99%,Call,04/04/23,17.93%
"4,150.00",-1.10%,179.00,180.85,182.70,171.00,171.00,unch,2,68,unch,16.88%,Call,04/06/23,17.93%
"4,160.00",-1.34%,173.00,174.85,176.70,113.82,0.00,unch,0,0,unch,16.77%,Call,03/17/23,17.93%
"4,170.00",-1.58%,167.10,168.90,170.70,156.10,-7.38,-4.51%,42,11,unch,16.66%,Call,04/06/23,17.93%
"4,175.00",-1.70%,164.20,166.00,167.80,112.97,0.00,unch,0,29,unch,16.61%,Call,03/28/23,17.93%
"4,180.00",-1.83%,161.30,163.10,164.90,160.40,0.00,unch,0,5,unch,16.56%,Call,03/31/23,17.93%
"4,025.00",-1.95%,132.30,133.80,135.30,145.42,0.00,unch,0,2,unch,20.15%,Put,03/31/23,17.93%
"4,030.00",-1.83%,133.80,135.30,136.80,134.44,134.44,unch,1,1,unch,19.99%,Put,04/06/23,17.93%
"4,040.00",-1.58%,136.70,138.20,139.70,132.48,0.00,unch,0,14,-2,19.94%,Put,04/03/23,17.93%
"4,050.00",-1.34%,139.70,141.25,142.80,141.00,-6.31,-4.28%,12,103,unch,19.78%,Put,04/06/23,17.93%
"4,060.00",-1.10%,142.70,144.30,145.90,144.54,0.00,unch,0,26,+1,19.67%,Put,04/03/23,17.93%
"4,070.00",-0.85%,145.80,147.40,149.00,0.00,0.00,unch,0,0,unch,19.53%,Put,N/A,17.93%
"4,075.00",-0.73%,147.40,149.00,150.60,148.28,-5.19,-3.38%,42,17,+5,19.38%,Put,04/06/23,17.93%
"4,080.00",-0.61%,149.00,150.60,152.20,156.80,0.00,unch,0,2,unch,19.39%,Put,04/04/23,17.93%
"4,090.00",-0.37%,152.30,153.90,155.50,207.09,0.00,unch,0,1,unch,19.25%,Put,03/22/23,17.93%
"4,100.00",-0.12%,155.60,157.25,158.90,157.00,157.00,unch,8,8,unch,19.09%,Put,04/06/23,17.93%
"4,110.00",+0.12%,159.00,160.65,162.30,165.10,0.00,unch,0,56,unch,18.97%,Put,04/04/23,17.93%
"4,120.00",+0.36%,162.40,164.15,165.90,196.21,0.00,unch,0,1,unch,18.83%,Put,03/30/23,17.93%
"4,125.00",+0.49%,164.20,165.90,167.60,165.49,165.49,unch,40,2,unch,18.71%,Put,04/06/23,17.93%
"4,130.00",+0.61%,166.00,167.70,169.40,0.00,0.00,unch,0,1,+1,18.68%,Put,N/A,17.93%
"4,140.00",+0.85%,169.60,171.35,173.10,164.57,0.00,unch,0,0,-4,18.54%,Put,04/03/23,17.93%
"4,150.00",+1.10%,173.30,175.10,176.90,178.42,178.42,unch,4,9,unch,18.39%,Put,04/06/23,17.93%
"4,160.00",+1.34%,177.10,178.90,180.70,251.38,0.00,unch,0,10,unch,18.24%,Put,03/28/23,17.93%
"4,170.00",+1.58%,181.00,182.80,184.60,284.20,0.00,unch,0,3,unch,18.10%,Put,03/23/23,17.93%
"4,175.00",+1.70%,182.90,184.75,186.60,309.42,0.00,unch,0,4,unch,18.02%,Put,03/20/23,17.93%
"4,180.00",+1.83%,184.90,186.75,188.60,301.60,0.00,unch,0,8,unch,17.94%,Put,03/23/23,17.93%
"Downloaded from Barchart.com as of 04-08-2023 05:57pm CDT"
